id,year,month,zip_code,consumption_MW,number_of_accounts,category
1,2020,6,14784,25.016,48,3
2,2020,5,14305,"7,914.86",581,3
3,2020,5,13641,11.903,28,3
4,2020,6,12837,5.498,16,3
5,2020,5,13202,"14,752.09",874,3
6,2020,5,12851,17.792,32,3
7,2020,5,12032,82.196,94,3
8,2020,6,12966,134.753,84,3
9,2020,5,13135,975.161,317,3
10,2020,6,12887,995.016,208,3
11,2020,6,12981,8.46,9,3
12,2020,6,12861,27.588,48,3
13,2020,6,13208,"4,726.34",848,3
14,2020,6,13042,74.822,87,3
15,2020,6,12801,"9,172.16",840,3
16,2020,5,13637,850.117,191,3
17,2020,6,12186,"1,285.80",259,3
18,2020,6,13670,28.312,22,3
19,2020,6,13601,"15,489.35","2,292",3
20,2020,6,12032,94.533,93,3
21,2020,6,14733,31.459,36,3
22,2020,5,14784,24.949,48,3
23,2020,6,12859,51.499,59,3
24,2020,6,13454,32.696,37,3
25,2020,5,12198,19.748,31,3
26,2020,6,12913,90.541,51,3
27,2020,5,12092,304.512,64,3
28,2020,6,12521,14.575,21,3
29,2020,6,14748,3.482,11,3
30,2020,5,12054,"1,762.08",693,3
31,2020,6,13483,7.183,12,3
32,2020,6,13406,67.51,40,3
33,2020,5,12810,8.764,32,3
34,2020,5,12870,335.825,70,3
35,2020,5,12502,11.348,18,3
36,2020,6,12845,"2,688.96",695,3
37,2020,6,12815,83.295,112,3
38,2020,6,13681,19.722,21,3
39,2020,5,12927,33.148,42,3
40,2020,6,13416,278.413,106,3
41,2020,6,12306,"6,830.99","1,026",3
42,2020,5,12926,75.104,39,3
43,2020,5,13041,"3,465.13",323,3
44,2020,5,14718,309.481,127,3
45,2020,6,13057,"21,720.15","1,278",3
46,2020,5,14469,28.958,58,3
47,2020,5,13301,12.137,9,3
48,2020,5,13681,16.451,21,3
49,2020,6,14510,63.7,19,3
50,2020,5,12210,"3,924.02",787,3
51,2020,5,14475,8.08,11,3
52,2020,5,14623,9.062,36,3
53,2020,5,13324,22.053,56,3
54,2020,6,14013,183.375,57,3
55,2020,5,14132,"4,201.60",321,3
56,2020,6,14727,"1,040.62",282,3
57,2020,6,12175,22.706,35,3
58,2020,6,14775,251.765,149,3
59,2020,5,12123,272.438,220,3
60,2020,5,13684,43.314,38,3
61,2020,6,14472,"2,014.02",293,3
62,2020,5,13302,28.414,62,3
63,2020,6,14094,"1,722.32",389,3
64,2020,6,14701,567.128,366,3
65,2020,5,12836,61.266,104,3
66,2020,5,14770,611.775,141,3
67,2020,6,12122,484.912,224,3
68,2020,5,14733,24.402,36,3
69,2020,5,14028,777.714,76,3
70,2020,6,13084,"1,078.12",182,3
71,2020,6,13643,63.753,29,3
72,2020,5,12157,612.709,151,3
73,2020,5,13020,20.903,11,3
74,2020,6,12927,32.791,19,3
75,2020,6,13301,39.521,16,3
76,2020,5,14740,210.032,49,3
77,2020,6,13638,21.881,22,3
78,2020,6,12056,359.027,165,3
79,2020,6,12084,"1,571.08",367,3
80,2020,5,13626,261.18,93,3
81,2020,6,14024,5.519,15,3
82,2020,5,13219,"2,521.13",344,3
83,2020,5,14753,154.417,101,3
84,2020,5,14040,140.56,95,3
85,2020,6,13687,40.032,35,3
86,2020,5,13142,"1,529.80",428,3
87,2020,5,13417,864.262,201,3
88,2020,5,13456,265.941,128,3
89,2020,5,14543,630.448,142,3
90,2020,6,12502,13.082,16,3
91,2020,5,13648,360.35,117,3
92,2020,6,13028,84.047,60,3
93,2020,6,12860,58.091,65,3
94,2020,6,12833,236.485,162,3
95,2020,5,14001,"2,765.35",274,3
96,2020,6,12043,"3,792.20",510,3
97,2020,5,14423,973.578,263,3
98,2020,5,13502,"10,320.64","1,176",3
99,2020,6,12206,"8,571.75","1,056",3
100,2020,5,14006,"1,681.21",292,3
101,2020,6,13606,345.179,113,3
102,2020,6,14486,21.807,13,3
103,2020,6,12137,69.149,78,3
104,2020,5,13206,"5,208.66",927,3
105,2020,5,12182,"1,575.05",435,3
106,2020,6,13646,138.149,151,3
107,2020,6,14217,"4,001.66",796,3
108,2020,5,13661,154.983,74,3
109,2020,6,12184,"1,048.78",314,3
110,2020,5,13061,21.982,30,3
111,2020,5,14218,"4,657.25",659,3
112,2020,5,13695,9.343,13,3
113,2020,5,12839,"1,718.27",386,3
114,2020,5,14036,"1,648.73",243,3
115,2020,5,13687,56.788,35,3
116,2020,6,12061,"2,919.81",506,3
117,2020,6,13693,29.996,66,3
118,2020,5,14067,419.101,208,3
119,2020,5,14085,248.754,104,3
120,2020,5,13063,188.555,75,3
121,2020,5,14058,668.727,175,3
122,2020,6,14475,9.233,11,3
123,2020,5,14755,7.347,25,3
124,2020,5,12077,"4,366.69",305,3
125,2020,6,13142,"1,888.97",450,3
126,2020,5,14301,"3,235.62",557,3
127,2020,5,14464,402.905,201,3
128,2020,6,12047,"3,009.78",872,3
129,2020,6,14135,22.529,27,3
130,2020,6,13118,38.071,43,3
131,2020,5,14174,521.648,191,3
132,2020,5,12078,"4,262.80",992,3
133,2020,5,13495,"1,157.85",190,3
134,2020,5,12206,"7,906.34","1,055",3
135,2020,6,14072,"5,097.65",723,3
136,2020,6,12208,"12,923.98",854,3
137,2020,5,12106,359.972,147,3
138,2020,5,12180,"15,933.97","2,674",3
139,2020,5,14111,89.121,98,3
140,2020,6,13324,29.344,55,3
141,2020,6,13472,75.627,37,3
142,2020,5,13633,2.248,9,3
143,2020,6,13035,"2,069.32",352,3
144,2020,6,14712,432.206,254,3
145,2020,5,12939,27.912,23,3
146,2020,5,12137,60.628,76,3
147,2020,6,13212,"7,634.78",948,3
148,2020,5,13360,132.293,96,3
149,2020,6,14204,"3,260.36",445,3
150,2020,6,13341,1.654,10,3
151,2020,6,12031,6.483,16,3
152,2020,6,12953,"5,040.28",695,3
153,2020,6,12809,450.985,152,3
154,2020,6,13501,"10,726.06","1,325",3
155,2020,6,13436,66.618,66,3
156,2020,6,14227,"1,365.18",48,3
157,2020,6,14769,82.178,64,3
158,2020,6,12993,279.241,147,3
159,2020,6,12841,13.223,31,3
160,2020,5,12832,7.16,16,3
161,2020,6,12094,98.608,94,3
162,2020,5,12969,20.915,22,3
163,2020,5,13212,"7,193.99",939,3
164,2020,5,13076,92.473,73,3
165,2020,6,14787,23.997,31,3
166,2020,5,12121,59.257,49,3
167,2020,6,14757,123.081,153,3
168,2020,5,14722,266.942,175,3
169,2020,6,13635,61.327,51,3
170,2020,6,13141,234.01,57,3
171,2020,5,12066,75.89,90,3
172,2020,6,12132,26.441,25,3
173,2020,5,13039,"5,177.98",640,3
