id,Year,Month,Price,Category
1,2021,12,19.56,1
2,2021,11,20.09,1
3,2021,10,20.66,1
4,2021,9,20.5,1
5,2021,8,19.97,1
6,2021,7,19.64,1
7,2021,6,19.6,1
8,2021,5,19.93,1
9,2021,4,18.55,1
10,2021,3,18.04,1
11,2021,2,18.83,1
12,2021,1,18.31,1
13,2020,12,18.26,1
14,2020,11,18.95,1
15,2020,10,19.29,1
16,2020,9,19.01,1
17,2020,8,18.43,1
18,2020,7,18.75,1
19,2020,6,19.13,1
20,2020,5,18.55,1
21,2020,4,17.35,1
22,2020,3,17.2,1
23,2020,2,17.46,1
24,2020,1,17.58,1
25,2019,12,17.33,1
26,2019,11,18.01,1
27,2019,10,18.58,1
28,2019,9,18.72,1
29,2019,8,18.38,1
30,2019,7,18.64,1
31,2019,6,18.53,1
32,2019,5,17.35,1
33,2019,4,17.54,1
34,2019,3,16.85,1
35,2019,2,17.65,1
36,2019,1,17.3,1
37,2018,12,17.33,1
38,2018,11,18.17,1
39,2018,10,19.29,1
40,2018,9,19.28,1
41,2018,8,19.02,1
42,2018,7,19.37,1
43,2018,6,19.28,1
44,2018,5,18.51,1
45,2018,4,17.98,1
46,2018,3,17.52,1
47,2018,2,18.19,1
48,2018,1,17.75,1
49,2017,12,16.99,1
50,2017,11,17.8,1
51,2017,10,18.74,1
52,2017,9,18.8,1
53,2017,8,18.56,1
54,2017,7,18.79,1
55,2017,6,18.74,1
56,2017,5,18.53,1
57,2017,4,17.3,1
58,2017,3,17.02,1
59,2017,2,17.48,1
60,2017,1,17.3,1
61,2016,12,17.17,1
62,2016,11,17.73,1
63,2016,10,18.26,1
64,2016,9,18.36,1
65,2016,8,17.99,1
66,2016,7,17.93,1
67,2016,6,17.87,1
68,2016,5,17.71,1
69,2016,4,17.38,1
70,2016,3,16.79,1
71,2016,2,16.76,1
72,2016,1,16.56,1
73,2021,12,15.34,2
74,2021,11,15.7,2
75,2021,10,17.12,2
76,2021,9,17.77,2
77,2021,8,17.54,2
78,2021,7,17.34,2
79,2021,6,17.1,2
80,2021,5,15.6,2
81,2021,4,14.27,2
82,2021,3,14.95,2
83,2021,2,15.15,2
84,2021,1,14.08,2
85,2020,12,14.02,2
86,2020,11,14.77,2
87,2020,10,15.32,2
88,2020,9,16,2
89,2020,8,15.82,2
90,2020,7,15.84,2
91,2020,6,15.7,2
92,2020,5,13.88,2
93,2020,4,13.25,2
94,2020,3,13.34,2
95,2020,2,13.22,2
96,2020,1,13.13,2
97,2019,12,13.37,2
98,2019,11,13.44,2
99,2019,10,14.6,2
100,2019,9,15.71,2
101,2019,8,15.24,2
102,2019,7,15.27,2
103,2019,6,14.82,2
104,2019,5,13.37,2
105,2019,4,13.13,2
106,2019,3,12.93,2
107,2019,2,13.14,2
108,2019,1,13,2
109,2018,12,13.12,2
110,2018,11,13.77,2
111,2018,10,14.96,2
112,2018,9,16.05,2
113,2018,8,15.5,2
114,2018,7,16.02,2
115,2018,6,15.09,2
116,2018,5,13.69,2
117,2018,4,13.34,2
118,2018,3,13.36,2
119,2018,2,13.69,2
120,2018,1,14.51,2
121,2017,12,13.46,2
122,2017,11,13.91,2
123,2017,10,15.02,2
124,2017,9,16.13,2
125,2017,8,15.95,2
126,2017,7,16.1,2
127,2017,6,15.96,2
128,2017,5,14.54,2
129,2017,4,13.78,2
130,2017,3,14.2,2
131,2017,2,13.42,2
132,2017,1,13.88,2
133,2016,12,13.75,2
134,2016,11,13.99,2
135,2016,10,14.85,2
136,2016,9,15.76,2
137,2016,8,15.56,2
138,2016,7,15.66,2
139,2016,6,15.1,2
140,2016,5,13.57,2
141,2016,4,13.77,2
142,2016,3,13.54,2
143,2016,2,13.57,2
144,2016,1,13.41,2
145,2021,12,6.61,3
146,2021,11,6.65,3
147,2021,10,6.76,3
148,2021,9,6.7,3
149,2021,8,6.55,3
150,2021,7,6.67,3
151,2021,6,6.43,3
152,2021,5,6.03,3
153,2021,4,5.87,3
154,2021,3,6.03,3
155,2021,2,6.07,3
156,2021,1,5.65,3
157,2020,12,5.65,3
158,2020,11,5.51,3
159,2020,10,5.75,3
160,2020,9,5.79,3
161,2020,8,5.68,3
162,2020,7,5.66,3
163,2020,6,5.64,3
164,2020,5,5.37,3
165,2020,4,5.35,3
166,2020,3,5.3,3
167,2020,2,5.37,3
168,2020,1,5.44,3
169,2019,12,5.44,3
170,2019,11,5.46,3
171,2019,10,5.6,3
172,2019,9,5.77,3
173,2019,8,5.77,3
174,2019,7,5.72,3
175,2019,6,5.36,3
176,2019,5,5.78,3
177,2019,4,5.49,3
178,2019,3,5.55,3
179,2019,2,5.68,3
180,2019,1,5.73,3
181,2018,12,5.6,3
182,2018,11,5.75,3
183,2018,10,6.03,3
184,2018,9,6.03,3
185,2018,8,6.08,3
186,2018,7,6.25,3
187,2018,6,5.99,3
188,2018,5,6.5,3
189,2018,4,5.56,3
190,2018,3,5.47,3
191,2018,2,6.6,3
192,2018,1,6.36,3
193,2017,12,5.85,3
194,2017,11,5.76,3
195,2017,10,6.15,3
196,2017,9,6.19,3
197,2017,8,6.2,3
198,2017,7,5.92,3
199,2017,6,6.11,3
200,2017,5,6.2,3
201,2017,4,5.87,3
202,2017,3,5.87,3
203,2017,2,4.98,3
204,2017,1,5.87,3
205,2016,12,5.83,3
206,2016,11,6.59,3
207,2016,10,5.95,3
208,2016,9,6.18,3
209,2016,8,6.28,3
210,2016,7,5.59,3
211,2016,6,6.7,3
212,2016,5,5.72,3
213,2016,4,5.94,3
214,2016,3,5.97,3
215,2016,2,6.08,3
216,2016,1,5.51,3
