zipcode,city,population
10001,NEW YORK,32612
10002,NEW YORK,82155
10003,NEW YORK,57076
10004,NEW YORK,4287
10005,NEW YORK,10639
10006,NEW YORK,4282
10007,NEW YORK,8421
10009,NEW YORK,61716
10010,NEW YORK,33991
10011,NEW YORK,53318
10012,NEW YORK,23125
10013,NEW YORK,31042
10014,NEW YORK,32590
10016,NEW YORK,62336
10017,NEW YORK,17401
10018,NEW YORK,11145
10019,NEW YORK,49029
10021,NEW YORK,45691
10022,NEW YORK,36708
10023,NEW YORK,71164
10024,NEW YORK,62250
10025,NEW YORK,95424
10026,NEW YORK,35644
10027,NEW YORK,64037
10028,NEW YORK,48116
10029,NEW YORK,78141
10030,NEW YORK,29686
10031,NEW YORK,56363
10032,NEW YORK,55170
10033,NEW YORK,50085
10034,NEW YORK,36778
10035,NEW YORK,35980
10036,NEW YORK,33868
10037,NEW YORK,19670
10038,NEW YORK,25332
10039,NEW YORK,29239
10040,NEW YORK,40405
10044,NEW YORK,11722
10065,NEW YORK,32891
10069,NEW YORK,6671
10075,NEW YORK,27796
10128,NEW YORK,64249
10162,NEW YORK,1814
10280,NEW YORK,8993
10282,NEW YORK,5847
10301,STATEN ISLAND,41474
10302,STATEN ISLAND,20931
10303,STATEN ISLAND,28155
10304,STATEN ISLAND,46944
10305,STATEN ISLAND,44008
10306,STATEN ISLAND,57919
10307,STATEN ISLAND,14129
10308,STATEN ISLAND,28198
10309,STATEN ISLAND,33523
10310,STATEN ISLAND,26667
10312,STATEN ISLAND,61642
10314,STATEN ISLAND,92157
10451,BRONX,51536
10452,BRONX,77564
10453,BRONX,81951
10454,BRONX,40232
10455,BRONX,43804
10456,BRONX,93412
10457,BRONX,77488
10458,BRONX,81299
10459,BRONX,50984
10460,BRONX,62625
10461,BRONX,54901
10462,BRONX,84655
10463,BRONX,71301
10464,BRONX,4592
10465,BRONX,45799
10466,BRONX,70420
10467,BRONX,103660
10468,BRONX,78238
10469,BRONX,71571
10470,BRONX,16686
10471,BRONX,25121
10472,BRONX,72245
10473,BRONX,62692
10474,BRONX,12013
10475,BRONX,42609
10501,AMAWALK,1486
10502,ARDSLEY,6261
10504,ARMONK,8258
10505,BALDWIN PLACE,1431
10506,BEDFORD,5762
10507,BEDFORD HILLS,6521
10509,BREWSTER,19501
10510,BRIARCLIFF MANOR,10010
10511,BUCHANAN,2369
10512,CARMEL,24664
10514,CHAPPAQUA,12568
10516,COLD SPRING,5462
10518,CROSS RIVER,1327
10520,CROTON ON HUDSON,13226
10522,DOBBS FERRY,11587
10523,ELMSFORD,9489
10524,GARRISON,4447
10526,GOLDENS BRIDGE,1865
10528,HARRISON,13108
10530,HARTSDALE,13037
10532,HAWTHORNE,5115
10533,IRVINGTON,7705
10536,KATONAH,10792
10537,LAKE PEEKSKILL,2527
10538,LARCHMONT,18318
10541,MAHOPAC,25651
10543,MAMARONECK,21296
10546,MILLWOOD,1426
10547,MOHEGAN LAKE,7293
10548,MONTROSE,3743
10549,MOUNT KISCO,16837
10550,MOUNT VERNON,41137
10552,MOUNT VERNON,21296
10553,MOUNT VERNON,11281
10560,NORTH SALEM,4854
10562,OSSINING,34252
10566,PEEKSKILL,25384
10567,CORTLANDT MANOR,20400
10570,PLEASANTVILLE,13986
10573,PORT CHESTER,41758
10576,POUND RIDGE,5099
10577,PURCHASE,6008
10579,PUTNAM VALLEY,8633
10580,RYE,18268
10583,SCARSDALE,41589
10588,SHRUB OAK,2430
10589,SOMERS,8510
10590,SOUTH SALEM,6556
10591,TARRYTOWN,23301
10594,THORNWOOD,5028
10595,VALHALLA,7264
10596,VERPLANCK,1519
10598,YORKTOWN HEIGHTS,29040
10601,WHITE PLAINS,11882
10603,WHITE PLAINS,18033
10604,WEST HARRISON,11526
10605,WHITE PLAINS,19438
10606,WHITE PLAINS,16929
10607,WHITE PLAINS,7441
10701,YONKERS,68704
10703,YONKERS,22571
10704,YONKERS,32426
10705,YONKERS,41785
10706,HASTINGS ON HUDSON,9339
10707,TUCKAHOE,10553
10708,BRONXVILLE,22299
10709,EASTCHESTER,10131
10710,YONKERS,26725
10801,NEW ROCHELLE,42949
10803,PELHAM,13255
10804,NEW ROCHELLE,14455
10805,NEW ROCHELLE,18479
10901,SUFFERN,25145
10913,BLAUVELT,5647
10916,CAMPBELL HALL,4604
10917,CENTRAL VALLEY,1973
10918,CHESTER,12547
10919,CIRCLEVILLE,1123
10920,CONGERS,8727
10921,FLORIDA,4205
10922,FORT MONTGOMERY,1026
10923,GARNERVILLE,9489
10924,GOSHEN,14006
10925,GREENWOOD LAKE,4341
10926,HARRIMAN,3645
10927,HAVERSTRAW,12323
10928,HIGHLAND FALLS,4637
10930,HIGHLAND MILLS,9331
10940,MIDDLETOWN,52803
10941,MIDDLETOWN,14549
10950,MONROE,62741
10952,MONSEY,47426
10954,NANUET,24248
10956,NEW CITY,32499
10958,NEW HAMPTON,3562
10960,NYACK,14680
10962,ORANGEBURG,5049
10963,OTISVILLE,3663
10964,PALISADES,1457
10965,PEARL RIVER,15342
10968,PIERMONT,2435
10969,PINE ISLAND,1282
10970,POMONA,11211
10973,SLATE HILL,2053
10974,SLOATSBURG,3395
10976,SPARKILL,2269
10977,SPRING VALLEY,71049
10980,STONY POINT,13289
10983,TAPPAN,5777
10984,THIELLS,2680
10986,TOMKINS COVE,1858
10987,TUXEDO PARK,4454
10989,VALLEY COTTAGE,8993
10990,WARWICK,19877
10992,WASHINGTONVILLE,9301
10993,WEST HAVERSTRAW,5113
10994,WEST NYACK,7242
10996,WEST POINT,7276
10998,WESTTOWN,3588
11001,SOUTH FLORAL PARK,27662
11003,FLORAL PARK,27662
11004,BELLEROSE VILLAGE,27662
11005,ELMONT,43979
11010,GLEN OAKS,13608
11020,FLORAL PARK,1945
11021,FRANKLIN SQUARE,25013
11023,GREAT NECK,6363
11024,GREAT NECK,19376
11030,GREAT NECK,10213
11040,GREAT NECK,8623
11050,MANHASSET,17898
11096,NEW HYDE PARK,43075
11101,PORT WASHINGTON,31512
11102,INWOOD,9645
11103,LONG ISLAND CITY,48867
11104,ASTORIA,37468
11105,ASTORIA,37362
11106,SUNNYSIDE,27407
11109,ASTORIA,38001
11201,ASTORIA,41722
11203,LONG ISLAND CITY,8400
11204,BROOKLYN,69703
11205,BROOKLYN,81824
11206,BROOKLYN,85885
11207,BROOKLYN,50474
11208,BROOKLYN,91549
11209,BROOKLYN,100330
11210,BROOKLYN,101958
11211,BROOKLYN,73239
11212,BROOKLYN,62805
11213,BROOKLYN,68540
11214,BROOKLYN,91574
11215,BROOKLYN,67217
11216,BROOKLYN,96560
11217,BROOKLYN,67493
11218,BROOKLYN,61251
11219,BROOKLYN,42417
11220,BROOKLYN,78642
11221,BROOKLYN,103447
11222,BROOKLYN,105797
11223,BROOKLYN,89222
11224,BROOKLYN,41957
11225,BROOKLYN,83519
11226,BROOKLYN,46019
11228,BROOKLYN,58786
11229,BROOKLYN,101727
11230,BROOKLYN,45906
11231,BROOKLYN,83669
11232,BROOKLYN,91391
11233,BROOKLYN,37240
11234,BROOKLYN,30181
11235,BROOKLYN,75399
11236,BROOKLYN,92133
11237,BROOKLYN,88482
