id,year,month,zip_code,consumption_MW,number_of_accounts,category
1,2020,6,13104,"4,682.41","5,585",1
2,2020,5,13076,654.962,798,1
3,2020,6,14787,141.717,191,1
4,2020,6,14769,294.792,446,1
5,2020,6,12969,204.71,448,1
6,2020,6,13215,"2,325.36","3,088",1
7,2020,6,13605,"1,666.51","1,761",1
8,2020,5,12914,208.63,257,1
9,2020,6,13691,757.021,885,1
10,2020,6,14757,356.675,575,1
11,2020,5,14475,131.242,139,1
12,2020,6,12844,237.648,315,1
13,2020,6,14701,"1,698.61","2,077",1
14,2020,5,13404,56.266,67,1
15,2020,6,13135,"1,962.77","2,360",1
16,2020,6,14036,"1,483.37","1,776",1
17,2020,6,13167,"1,324.63","1,241",1
18,2020,5,13670,156.073,315,1
19,2020,5,12043,"1,582.62","2,309",1
20,2020,5,12110,"1,861.35","3,573",1
21,2020,6,12945,160.967,234,1
22,2020,5,14226,"4,622.55","9,862",1
23,2020,6,13084,"1,232.30","1,170",1
24,2020,5,14210,"1,979.62","5,459",1
25,2020,5,13208,"3,737.54","8,072",1
26,2020,5,14482,"2,110.29","3,038",1
27,2020,6,12207,466.383,736,1
28,2020,5,14727,"1,135.00","2,129",1
29,2020,5,12157,713.919,907,1
30,2020,5,14150,"6,237.83","15,255",1
31,2020,5,14740,208.599,293,1
32,2020,5,13163,74.794,103,1
33,2020,6,13152,"1,761.41","1,940",1
34,2020,6,14211,"4,257.06","8,246",1
35,2020,6,14740,272.486,293,1
36,2020,6,14775,810.306,"1,047",1
37,2020,5,14783,163.404,193,1
38,2020,6,13452,"1,501.56","1,725",1
39,2020,5,12065,"6,360.16","11,091",1
40,2020,5,13472,125.227,333,1
41,2020,5,12305,"1,138.40","2,630",1
42,2020,6,12008,138.392,183,1
43,2020,6,12822,"2,483.24","2,519",1
44,2020,5,12843,208.798,445,1
45,2020,6,13052,745.701,926,1
46,2020,5,14543,813.942,"1,050",1
47,2020,6,14060,187.137,199,1
48,2020,6,13608,554.774,539,1
49,2020,5,14769,226.898,446,1
50,2020,6,14543,984.044,"1,049",1
51,2020,6,12513,484.189,547,1
52,2020,6,14225,"2,750.95","5,803",1
53,2020,6,12870,910.984,"1,331",1
54,2020,5,14001,"1,553.31","2,537",1
55,2020,5,14051,54.361,254,1
56,2020,5,13648,670.553,"1,258",1
57,2020,5,13675,84.018,155,1
58,2020,5,13502,"3,197.38","6,794",1
59,2020,5,12960,232.104,368,1
60,2020,6,12534,"4,807.45","6,477",1
61,2020,5,14423,"1,370.33","1,739",1
62,2020,6,13669,"3,972.25","5,224",1
63,2020,6,13626,971.356,933,1
64,2020,6,12878,285.473,424,1
65,2020,6,14422,924.8,726,1
66,2020,6,13459,809.431,855,1
67,2020,6,12067,599.919,566,1
68,2020,5,14036,"1,053.43","1,773",1
69,2020,6,13039,"4,536.93","6,033",1
70,2020,5,12977,47.03,92,1
71,2020,5,12846,"1,053.29","1,799",1
72,2020,6,12064,164.909,228,1
73,2020,6,13638,167.756,168,1
74,2020,5,13641,42.718,216,1
75,2020,6,13646,826.511,"1,764",1
76,2020,6,14223,"5,143.50","9,067",1
77,2020,6,12137,570.731,607,1
78,2020,5,13409,568.46,727,1
79,2020,6,14034,514.68,671,1
80,2020,6,13054,578.263,545,1
81,2020,5,14202,602.402,"1,051",1
82,2020,6,12859,777.721,735,1
83,2020,5,13206,"2,867.24","6,693",1
84,2020,6,12036,132.267,182,1
85,2020,5,14058,593.171,815,1
86,2020,6,13329,"1,126.20","1,417",1
87,2020,6,14475,167.712,139,1
88,2020,5,12206,"2,417.63","5,912",1
89,2020,5,14225,"2,260.43","5,675",1
90,2020,5,12027,904.144,"1,393",1
91,2020,6,12186,"1,603.01","1,809",1
92,2020,6,12027,"1,164.38","1,393",1
93,2020,6,12303,"7,806.20","10,895",1
94,2020,6,14120,"10,749.73","16,966",1
95,2020,6,13354,"1,176.66","1,150",1
96,2020,5,12180,"10,362.57","20,416",1
97,2020,5,13088,"4,172.72","9,029",1
98,2020,5,12132,111.281,174,1
99,2020,5,12198,375.289,543,1
100,2020,6,12883,"1,773.14","2,264",1
101,2020,5,12090,"1,669.83","2,219",1
102,2020,5,12837,187.907,246,1
103,2020,6,13131,"1,343.02","1,296",1
104,2020,6,14712,"1,277.66","1,652",1
105,2020,5,14435,917.549,"1,299",1
106,2020,6,14743,672.723,777,1
107,2020,6,12110,"4,962.83","7,337",1
108,2020,5,14174,"1,314.29","2,300",1
109,2020,5,12886,64.834,137,1
110,2020,6,13680,383.945,423,1
111,2020,6,14204,"1,795.20","3,747",1
112,2020,5,13309,208.674,290,1
113,2020,6,13681,317.202,298,1
114,2020,5,12939,69.281,119,1
115,2020,5,13301,23.114,34,1
116,2020,5,12010,"6,683.31","10,963",1
117,2020,5,13656,684.015,893,1
118,2020,5,13041,"2,602.18","4,020",1
119,2020,6,14001,"2,263.34","2,536",1
120,2020,5,13324,593.236,"1,007",1
121,2020,5,12210,"1,621.86","4,573",1
122,2020,6,12836,433.188,677,1
123,2020,6,12194,118.081,168,1
124,2020,6,13035,"2,713.63","2,862",1
125,2020,6,13077,"1,867.13","2,382",1
126,2020,5,12187,90.756,125,1
127,2020,6,13436,75.504,357,1
128,2020,5,13651,56.889,116,1
129,2020,5,14737,964.316,"1,996",1
130,2020,5,13339,"1,491.67","2,209",1
131,2020,6,12185,704.728,658,1
132,2020,6,12803,"2,973.60","3,314",1
133,2020,5,12859,586.562,736,1
134,2020,5,13619,"2,686.88","3,783",1
135,2020,6,12302,"8,029.74","10,712",1
136,2020,6,14094,"2,923.83","3,415",1
137,2020,5,12036,87.801,181,1
138,2020,6,12164,223.548,511,1
139,2020,6,14472,"2,245.35","2,302",1
140,2020,5,12121,505.38,669,1
141,2020,6,12158,"1,750.50","2,369",1
142,2020,5,13211,"1,239.38","2,464",1
143,2020,6,14221,"10,824.37","17,501",1
144,2020,5,12836,284.744,677,1
145,2020,6,12172,232.608,305,1
146,2020,5,12166,393.891,470,1
147,2020,6,12866,"12,774.93","16,717",1
148,2020,6,13672,287.115,496,1
149,2020,5,12078,"5,543.54","9,288",1
150,2020,6,12828,"3,319.79","3,799",1
151,2020,6,14485,"1,347.08","1,443",1
152,2020,6,12056,926.756,962,1
153,2020,5,12057,540.98,633,1
154,2020,6,14304,"7,611.08","11,804",1
155,2020,6,13301,68.23,105,1
156,2020,5,13407,800.375,986,1
157,2020,5,14414,"1,909.01","2,574",1
158,2020,5,13118,261.793,412,1
159,2020,6,12106,"1,204.56","1,149",1
160,2020,6,12089,88.175,87,1
161,2020,6,13659,273.013,342,1
162,2020,6,13678,115.577,146,1
163,2020,6,13101,729.058,852,1
164,2020,5,13626,663.487,932,1
165,2020,5,14020,"4,624.80","8,454",1
166,2020,6,12190,304.646,532,1
