id,year,month,zip_code,consumption_MW,number_of_accounts,category
1,2020,5,14125,"1,279.58","1,334",2
2,2020,6,13350,"4,312.57","3,997",2
3,2020,6,13021,69.004,147,2
4,2020,5,14204,"2,680.27","4,148",2
5,2020,5,13039,"5,869.52","6,633",2
6,2020,6,12071,110.584,131,2
7,2020,5,12811,78.24,152,2
8,2020,6,12857,299.703,410,2
9,2020,6,14213,"5,750.00","9,334",2
10,2020,5,14227,258.451,254,2
11,2020,6,14227,311.464,252,2
12,2020,5,13114,"2,112.71","2,805",2
13,2020,5,13639,67.068,98,2
14,2020,6,12188,"3,785.56","4,787",2
15,2020,5,13203,"3,397.19","5,883",2
16,2020,6,13656,"1,049.73",995,2
17,2020,6,12523,940.513,"1,068",2
18,2020,5,13404,67.185,76,2
19,2020,6,12305,"3,874.90","3,392",2
20,2020,6,14058,"1,251.73","1,010",2
21,2020,5,14737,"1,257.61","2,190",2
22,2020,5,13053,94.006,102,2
23,2020,5,14075,"2,925.97","5,813",2
24,2020,6,14068,"2,495.64","2,773",2
25,2020,6,12161,85.659,92,2
26,2020,6,13205,"2,989.77","3,882",2
27,2020,6,13074,"1,569.28","1,574",2
28,2020,6,12846,"1,562.22","1,936",2
29,2020,5,12883,872.223,"1,410",2
30,2020,5,12986,60.309,198,2
31,2020,6,13488,13.524,16,2
32,2020,6,12817,"1,374.04","1,915",2
33,2020,5,14094,"2,957.98","3,753",2
34,2020,5,12207,"1,834.58","1,310",2
35,2020,6,13088,"9,151.56","9,996",2
36,2020,6,13219,"5,006.54","5,954",2
37,2020,6,12863,266.142,272,2
38,2020,6,14207,"6,383.27","9,085",2
39,2020,6,12534,"7,820.51","7,723",2
40,2020,5,12306,"7,896.93","11,542",2
41,2020,6,12095,"5,582.01","5,388",2
42,2020,5,12866,"15,930.09","19,036",2
43,2020,5,12203,"8,579.90","12,642",2
44,2020,5,14471,"1,171.04","1,802",2
45,2020,6,14301,"3,577.98","5,350",2
46,2020,6,14171,864.264,984,2
47,2020,5,12154,"1,101.57","1,087",2
48,2020,5,12981,116.541,201,2
49,2020,5,14012,840.765,"1,070",2
50,2020,6,12010,"10,990.18","11,216",2
51,2020,6,12177,237.003,287,2
52,2020,5,13088,"7,203.89","10,009",2
53,2020,6,14020,"9,683.96","9,694",2
54,2020,5,12063,114.771,159,2
55,2020,5,14051,110.371,269,2
56,2020,5,12513,8.461,19,2
57,2020,5,13436,129.784,423,2
58,2020,6,14533,585.143,525,2
59,2020,6,14063,"3,889.25","5,347",2
60,2020,5,12156,317.547,389,2
61,2020,6,13417,"1,531.95","1,810",2
62,2020,6,14708,98.752,114,2
63,2020,5,12067,506.546,635,2
64,2020,6,13069,"9,174.69","9,772",2
65,2020,5,14727,"1,543.17","2,378",2
66,2020,6,13459,"1,005.50",986,2
67,2020,5,12177,196.784,288,2
68,2020,5,12817,"1,045.64","1,916",2
69,2020,5,14716,169.268,238,2
70,2020,5,14757,659.483,"1,298",2
71,2020,6,14223,"6,252.07","9,510",2
72,2020,6,12304,"7,162.69","8,167",2
73,2020,6,12116,333.682,378,2
74,2020,5,14304,"9,773.78","13,313",2
75,2020,5,14211,"4,594.68","8,696",2
76,2020,6,14001,"2,778.04","2,788",2
77,2020,6,12187,118.988,136,2
78,2020,6,14760,"7,733.57","8,325",2
79,2020,6,14075,"4,461.27","6,010",2
80,2020,5,12193,29.059,36,2
81,2020,6,12821,158.016,155,2
82,2020,6,14012,977.225,"1,069",2
83,2020,5,12144,"6,260.22","9,524",2
84,2020,5,12953,"4,816.42","4,855",2
85,2020,6,12871,"1,977.29","1,742",2
86,2020,5,12071,100.334,131,2
87,2020,5,14711,8.466,16,2
88,2020,5,12845,"2,834.41","3,377",2
89,2020,5,13607,"1,501.06","2,189",2
90,2020,6,13624,"2,397.76","3,516",2
91,2020,5,14305,"3,989.64","6,837",2
92,2020,5,13615,366.198,453,2
93,2020,5,13407,854.606,"1,077",2
94,2020,6,14737,"1,609.63","2,192",2
95,2020,5,12010,"9,388.52","12,209",2
96,2020,6,13209,"1,808.84","1,803",2
97,2020,5,14217,"5,437.16","10,066",2
98,2020,6,13045,"10,520.75","11,000",2
99,2020,6,12090,"2,528.15","2,495",2
100,2020,6,12823,165.034,216,2
101,2020,5,13290,499.63,40,2
102,2020,5,12184,"1,834.88","2,374",2
103,2020,5,12061,"3,072.14","3,911",2
104,2020,5,12095,"4,194.77","5,401",2
105,2020,6,12853,"1,619.64","1,016",2
106,2020,5,12205,"9,176.75","9,703",2
107,2020,6,13352,67.524,113,2
108,2020,6,13490,846.12,650,2
109,2020,5,13209,"1,337.22","1,799",2
110,2020,5,12843,214.26,466,2
111,2020,6,12065,"12,794.39","14,195",2
112,2020,6,13407,"1,105.73","1,071",2
113,2020,5,13309,216.762,308,2
114,2020,6,12110,"11,264.13","8,998",2
115,2020,5,14020,"7,836.28","9,684",2
116,2020,5,12303,"7,551.93","11,727",2
117,2020,5,12196,72.425,94,2
118,2020,6,13114,"3,121.23","2,863",2
119,2020,6,13615,489.758,452,2
120,2020,6,14423,"2,083.75","1,967",2
121,2020,5,14048,"4,472.92","6,739",2
122,2020,5,13803,24.391,30,2
123,2020,6,12828,"4,137.28","4,165",2
124,2020,6,14733,332.159,370,2
125,2020,5,14132,"2,066.61","2,403",2
126,2020,5,12158,"1,517.98","2,597",2
127,2020,6,12203,"11,217.56","12,663",2
128,2020,5,12209,"1,933.77","4,073",2
129,2020,6,12839,"5,004.96","5,579",2
130,2020,6,13483,114.211,117,2
131,2020,5,12020,"11,262.21","14,770",2
132,2020,6,13696,114.11,126,2
133,2020,5,13617,"1,364.00","1,213",2
134,2020,5,13339,"1,777.73","2,487",2
135,2020,6,13339,"2,346.09","2,506",2
136,2020,5,12856,150.692,292,2
137,2020,5,13666,105.175,117,2
138,2020,6,13202,"3,985.71","2,102",2
139,2020,5,13605,"1,683.32","1,944",2
140,2020,6,14203,"2,870.68","1,594",2
141,2020,5,13696,78.846,126,2
142,2020,6,14304,"12,285.69","13,298",2
143,2020,6,14006,"3,098.04","4,534",2
144,2020,5,12523,613.186,"1,068",2
145,2020,5,12865,43.628,63,2
146,2020,6,13678,119.023,155,2
147,2020,5,12808,180.673,556,2
148,2020,5,13624,"1,913.54","3,531",2
149,2020,5,13077,55.302,94,2
150,2020,5,14750,"2,072.88","2,421",2
151,2020,6,13404,88.195,76,2
152,2020,6,12020,"13,491.74","14,715",2
153,2020,6,12862,62.257,130,2
154,2020,5,14756,67.259,205,2
155,2020,5,14209,"2,374.91","3,103",2
156,2020,6,13301,107.751,121,2
157,2020,6,12144,"7,807.33","9,521",2
158,2020,5,12961,18.835,21,2
159,2020,5,13471,"1,131.93","1,273",2
160,2020,5,12065,"8,086.23","11,948",2
161,2020,6,12063,171.811,159,2
162,2020,6,12843,307.716,466,2
163,2020,5,14472,"2,503.36","2,558",2
164,2020,5,13074,"1,285.63","1,574",2
165,2020,6,14094,"3,630.03","3,762",2
166,2020,6,12803,"3,826.00","3,625",2
167,2020,6,12831,"6,935.98","7,053",2
168,2020,5,13202,"3,322.84","2,116",2
169,2020,6,14472,"2,881.52","2,559",2
170,2020,6,12822,"2,871.12","2,737",2
171,2020,6,14209,"3,131.88","3,121",2
172,2020,6,13053,116.411,102,2
173,2020,6,13318,194.935,145,2
174,2020,6,12196,94.691,92,2
175,2020,5,14141,120.743,175,2
176,2020,6,13212,"8,983.40","8,830",2
